index,Review,label,anomaly
65,"It was good at first, but it wouldnt let me pick a song and it had forced me to listen to an entire playlist to get to my fav song because they limited it to 6 skips per hour, why are you limiting skiping songs?",NEGATIVE,-1
66,"I love it soo much and I will rate it a 4 star, the problem is that there are constant ads, and the singing option near the lyrics doesn't seem to appear for me anymore",NEGATIVE,-1
67,"would rate it 5. but whenever, i play something on my playlist it changes to a different song and not my playlist . i hope this get fixed soon.",NEGATIVE,-1
68,"Love the app... A few small issues though.. 1. I find a song and add to liked, then look for the same song and it takes me to a whole different playlist Please fix.",POSITIVE,-1
69,Too much and too long ads.,NEGATIVE,-1
70,"I didn't really like the app. Whenever I play a song, it just plays a different one.",NEGATIVE,-1
71,"Had no issues with this app for years being a premium user but now really struggling with it. As someone else said before, there is now no player so can't skip, pause etc. Not sure if this is because I'm on a Samsung Galaxy? As it does come back briefly if I restart my phone ðŸ¤·â€â™€ï¸",NEGATIVE,-1
72,"Just bring back the ""shuffle all"" albums option. ðŸ¤¦ðŸ¾â€â™‚ï¸",POSITIVE,-1
73,Quality sound and selection. But they're adds are louder than the music sometimes.,POSITIVE,-1
74,It always stuck at black screen,NEGATIVE,-1
75,Great music quality,POSITIVE,-1
76,I love to hear Ads ðŸ˜Œâ¤its so SATISFYING.... But Sometimes musics play and INTERRUPT the Ads ðŸ˜”....i request to Fixed this Problem.... So i enjoy ads Peacefully.... Great AppðŸ™ðŸ˜Š,POSITIVE,-1
77,"First time user, so far easy enough to navigate.",POSITIVE,-1
78,I will give less than one star the app plays too many adds after each and every song As I have not purchased premium this gives too many adds which irritate a lot in your mood.,NEGATIVE,-1
79,Awesome but some songs I can't find,POSITIVE,-1
80,"I really like Spotify, I don't have proplem with ads but shuffle and only 6 skips per hour is sooooo annoying! I neither want to pay for Spotify premium nor switch to another app, and this makes Spotify really hard to use.",NEGATIVE,-1
81,Work really well with Android Auto on those long drives home.,POSITIVE,-1
82,Please turn off shuffle play!!!,NEGATIVE,-1
83,"Its good but when u want to play a song , they give other songs yo listen to instaed of the song and sometimes when u trying to get to the song the skips are limited .It has the same effect on the playlist u cant enjoy ur song without other songs interfering and eepecially adding songs u dont like to ur playlist",POSITIVE,-1
84,In the middle of songs its pauses and then restarts the whole song. You have to go into the app and play the song again.,NEGATIVE,-1
85,"Very glitchy, audio randomly drops out or stops playing. Control bar disappears from the bottom of the screen and unable to pause, stop or skip audio without closing out of the app.",NEGATIVE,-1
86,I hate this If i have spotify free i can only listen to the half of the song on mobile hate this f#$Ã— u,NEGATIVE,-1
87,"I uninstalled this app because I don't have any use for it anymore and as soon as I did that, the ads for it appeared on YouTube videos Just how freaking desperate do you have to be to promote it this much Please buzz off",NEGATIVE,-1
88,"I love Spotify, I listen more and more, music an podcasts. We have a premium account, it's worth every penny.",POSITIVE,-1
89,"What the hell? I'm having the same issue as ""The Patoto Man"", minus random songs being added. I can't even choose any song at all that I want to play. I can't view them properly, I can't play them directly and it only starts a 10 second snippet of the song. I can't even listen to any music I want, and can't even have playlists play the music I want. And the big one, it all seems to just be a Samsung/ Google Play Store issue. I can play just fine on Apple mobile devices like iPads.",NEGATIVE,-1
90,This app is good but fixe it i can't sign in,NEGATIVE,-1
91,"Dude the app is good and all but just today I was using it and later in the day I check it and it won't let me play my playlist, and random songs are added toy playlist I can't even select a song I want to play I can only listen to it for a short period of time, and it says ""you added"" in your playlist and then bottom part says ""we added"" I don't know what to do I just want to listen to the full songs without random bots adding random songs that I don't even like and have any interest.",NEGATIVE,-1
92,I love Spotify just wish I can download music,POSITIVE,-1
93,It's awesome and great music app,POSITIVE,-1
94,Works super well.... When it works... The app doesnt seem to want to load 3/4ths of the time. Ultra laggy. Locks up my phone occationally... Makes no sense. Otherwise. Features are plentiful and you can find most anything.,NEGATIVE,-1
95,I can't even listen to my favorite songs bc of the shuffle and I tried different accounts and it doesn't even change even a little,NEGATIVE,-1
96,it does'nt let you choose your songs,POSITIVE,-1
97,The load time is wonderful and very short and you don't have to wait long to hear the next best thing.,POSITIVE,-1
98,"I love listening to music (I use it as a coping mechanism), so I love Spotify so much too. But, about 3 days ago (?), my Spotify wouldn't load, it would just stay on the spotify logo screen thing. Tried installing it and uninstalling it for 5 times, restarted my phone 2 times, cleared the cache/data for about 8 times, and I still can't open it (also waited for an hour for it to load).",NEGATIVE,-1
99,"Used to be good. It dont let me play my playlists, pause, stop, start and go back a track from my phone (samsung). I emailed spotify and asked help from a member but nothings working.",NEGATIVE,-1
100,"For an app that has been available for 8 years, the amount of issues I have is frustrating. Like some other say, it stops playing randomly while in the background, even though I allow background data use and all that. At times while running in the background, the app dissappears from my toolbar and I have to open it independently, then I have no way to click on what is playing at the bottom so I must force close it.",NEGATIVE,-1
101,I really enjoy My Music life Nice App Thanks for Spotify,POSITIVE,-1
102,i cant open the app. it's been 2 days please fix this.,NEGATIVE,-1
103,It's not that bad but why can't i just directly play the song i pressed on?,NEGATIVE,-1
104,Love spotify great for all the family,POSITIVE,-1
105,"This app worked well until v8.6.98.900, when trying to install newer versions of the app, my pioneer car system wouldn't work with spotify anymore. This means that I have to upgrade all my apps manually to be able to keep the last working version of their app. Hope spotify will fix their broken app soon.",NEGATIVE,-1
106,"I use to love this app, but I soon hated it because it keeps on playing music and other songs that isn't on my playlists or my liked songs, I've turned off the option for it to do that ( play similar Songs when your playlists ends. Something like that ) but it doesn't work, I don't recommend.",NEGATIVE,-1
107,Excellent music experience,POSITIVE,-1
108,This is an amazing app I use it all the time and it's very affordable. If you are looking for a app to lift your mood Spotify it the one you go for.,POSITIVE,-1
109,Spotify has literally accounted for everything when it comes to your best music experience. It's so easy to use but there's still so many features and I honestly didn't realize how much I needed it until I got it. Would recommend above apple music as it's more aesthetically pleasing and has way better features. GET SPOTIFY!!! (I do have premium) but even with ads it's still good.,POSITIVE,-1
110,Sometimes it is not working,NEGATIVE,-1
111,Very annoying and disturbing,NEGATIVE,-1
112,Good audio play experience with spotify.,POSITIVE,-1
113,The best music app till now ...,POSITIVE,-1
114,I hate ads and they do send work 1 month free premium (super upp),NEGATIVE,-1
115,I have gotten 10 ads in a row trying to listen to a single song. The ads were longer then the sond,NEGATIVE,-1
116,"I have used this app for the last 2 years straight, always use premium, it's an essential",POSITIVE,-1
117,"App stuck on loading black screen with Spotify logo, restarted, reinstalled, no luck! Using Note 20 ultra",NEGATIVE,-1
118,"2022.07.08 Would like to be able to save queue as playlist. Would like to be able to scroll back in queue an arbitrary number of titles. When playlist is playing, be able to add songs to queue, rearrange playlist sequence, and ""save changes to playlist?"" prompt at end of playlist... ðŸ¤·â€â™‚ï¸",NEGATIVE,-1
119,"Worst app for music,so many ads.",NEGATIVE,-1
120,Best song app all over,POSITIVE,-1
121,"I love ðŸ’“ this app . It has ads but not that level, that's the reason. And you can choose your favorite artist. You can enjoy different Playlist in just 28 mb. And resso use 68 mb. So I prefer Spotify.",NEGATIVE,-1
122,Nice music quality,POSITIVE,-1
123,Umm... Lately There is Auto Pausing Problem when the screen Locks Hope It Will Fix Soon,NEGATIVE,-1
124,Amazing songs and artists!!! Great app 10/10 review!!,POSITIVE,-1
125,"Not bad but not good. I wanted to listen to a song that I like but suddenly it played a different song. I tried adding my fav songs to my playlist but it played a song that I did not add on my playlist. Well, that's okay.",NEGATIVE,-1
126,"I absolutely love Spotify and I'm obsessed with music, but I only rated it 4 starts for a reasom. Ok so basically my Spotify was doing this weird thing it like had only one song in all my playlist and literally nothing would play, and I had no idea how to fix. And whats weird is that it would work on my other devices with my Spotify account just not on my phone. So it might be my phone but idk. And another thing it does is it just randomly kicks me out of the app sometimes. Well thats all I have",NEGATIVE,-1
127,I really love it my favorite thing about this app is the lyrics ðŸ˜ it's amazing I love singing along with my favorite songs ðŸŽµ ðŸ’•,POSITIVE,-1
128,Best music app....best collections.....they wil create playlists specially for youu...I loved it best app ever,POSITIVE,-1
129,Nice app but the ads is very disturbing,NEGATIVE,-1
130,Stopped working this morning for some reason.,NEGATIVE,-1
131,How long will it take to fix the payment option. Being on the free plan is not a nice experience. I want to get back on Premium but its failed now for the 2nd month.,NEGATIVE,-1
132,This is nice app i love spotify,POSITIVE,-1
133,Having streaming trouble with new update. Skipping of audio and app crashes,NEGATIVE,-1
134,"Easy play, and all singers and songs I wanted is here.Thank you",POSITIVE,-1
135,It's a amazing app but if it has been an option to download songs it's completely fantasy,POSITIVE,-1
136,The recommendations are always for popular stuff no matter what you listen to. Worst recommendations of all time. There is little to no effort put into these. If you made a playlist exclusively with 90's Norwegian death metal this dumb app would trip over it's dick racing to suggest Island in the Sun by Weezer. The now playing bar only exists most of the time making it almost impossible to use without restarting your phone,NEGATIVE,-1
137,I'm speechless this app is amazing.,POSITIVE,-1
138,I cant open the app ðŸ˜­ I've tried deleting it and restarting my phone someone help,NEGATIVE,-1
139,For a pricey monthly fee the app should work the way it's expected to.. but unfortunately it no longer does... Constantly pausing when you don't want it to no pause button visible when you do want to pause no currently playing information screen So no way to skip forward back etc... And when the currently playing screen is available (often have to uninstall reinstall) still does not rotate to landscape mode ... Been waiting for this basic feature for literally years,NEGATIVE,-1
140,"I have used this app for a few years now, Love it so much.",POSITIVE,-1
141,NICE ONE THANKS FOR YOUR HELP AND support,POSITIVE,-1
142,Have same issue as others... App keeps freezing and crashing. Is there something with the recent updates as the app plays and stops constantly?,NEGATIVE,-1
143,This is one of the best music app of all time it's amazing if I could do 3000 out of 100000 I would give it a 100000000000000,POSITIVE,-1
144,"Please help me how do I fix this I can't open the app the logo is stuck in the screen, I tried restarting and reinstalling the app and it doesn't work. Fix this.",NEGATIVE,-1
145,All good but I don't like ads too much ads,NEGATIVE,-1
146,"Living remotely, Spotify is the only way to go. Love it.!!!",NEGATIVE,-1
147,"Itâ€™s the best App I have ever used for listening music. There are numerous options, playlists and specially blends.Spotify really knows me well. It creates playlists by my favourite songs which is appreciated. Artist mix,genre mix,mood mix these are so good. I like using Spotify. But I wish there were a few more advantages for those who use a free account. For example skipping more than 6 songs.",POSITIVE,-1
148,So bad I just want my songs so when I made a new play list to get rid of all the songs they added it literally put 500 extra song I rate one or zero,NEGATIVE,-1
149,The app is not working on moto g52 5g. The app opens and nothing happens it will be in opening app state only.,NEGATIVE,-1
150,Probably the best app I found in Play Store for music.I love every feature in this app and my opinion is that you must add calller tone and ringtone option in Spotify because Spotify have all songs and other apps don't so if you add this feature for paid listeners I'll be amazing.,POSITIVE,-1
151,"A lot of ads come in this, after every two songs the add comes, please remove the add.",NEGATIVE,-1
152,Love it but why did they add it where if I play the song on my tv they show a picture of the artist's profile picture as the background? I liked the solid color with the album cover in the corner better. I couldn't find a way to turn it off either. Love Mac DeMarco but it jumpscared me seeing his face out of nowhere. Need an option to take it off. Ruins the aesthetic.,NEGATIVE,-1
153,"This is absolutely ridiculous. I lost all my music, ended that subscription and account, made a whole new one with a new subscription and can't like songs, can't add podcasts or playlists. Severely unimpressed",NEGATIVE,-1
154,I can find most songs I love but sometimes can't find older songs but love it none the less.,POSITIVE,-1
155,It is a great music app it's my favorite and I know you will like it but one thing I don't like is you have limited amount of skips eatch hour and I recommend getting the app it's great to listening to songs with your friends and you :) and I love how you can make playlists I have one with over 50 songs!,POSITIVE,-1
156,"Love it. Sadly you have to buy a subscription to fully enjoy the service. Love the blended mix between songs. Was told sound would be better when bought a subscription, but it's still the same.",NEGATIVE,-1
157,"I like this app because of the wide variety of music, but a flaw to this app is the amount of ads during and after the music or podcast you listened to, and the 5 skips per hour. Other than that this is a good app.",NEGATIVE,-1
158,"Best music app very good quality songs, they sometimes give 30mins without interruption, there are hundreds of not thousands of songs which are in high quality I really recommend downloading",POSITIVE,-1
159,Easy to opporate and the pmaylist it matches up foe me r spot in what i wanted to hear. ðŸ‘ðŸ‘,NEGATIVE,-1
160,can't like anymore songs,NEGATIVE,-1
161,this is sooooo annoying!!! its been 2 weeks music keeps on stopping after 1 second. 1 SECOND!?!?! is this what I get for paying??? come on! spotify. i've tried a lot of trouble shooting. *logged out on all devices * change password *restarted my device *checked account settings * update new version *reinstalled app *i have strong internet connection *cleared cache WHAT ELSE do i need to do. help me please. I really like this app but if this keeps going then goodbye!!!,NEGATIVE,-1
162,Very good and the exact app I was looking for. 1 star not given because of too many ads and some songs are not there.,NEGATIVE,-1
163,The golden standard. Get premium y'all. It's worth it.,NEGATIVE,-1
164,On time and always on point,POSITIVE,-1
165,Great music. Easy to use. Amazing selection variety!,POSITIVE,-1
166,"Slowly getting worse, my Spotify has been getting super buggy. A lot of random pauses and disconnects with my Tacoma. Bugged so bad it started playing music without knowing it and I could not pause or pull up any screen that would allow me to pause the music. Had to restart my phone, a S10+.",NEGATIVE,-1
167,Like this app forever but the ads are disturbing ðŸ˜ pls take the ads if anyone not have any money what he will do he can't pay any premium so do like that everyone is there nowadays so pls make my demand and Spotify 4ever,NEGATIVE,-1
168,Works well for the most part. Hangs occasionally with just a few bugs.,POSITIVE,-1
169,"I have been using the app for podcasts, and I am enjoying it. However, some sometimes the media player does not appear when one transitions to a different podcast channel. To rectify this, I have to relaunch the app. Please see to this problem.",NEGATIVE,-1
170,"Why i am getting hindhi ads, which i could hardly understand, can't even you make advertisment based on the region of user, based on location access?",NEGATIVE,-1
171,"It works for a little then after a while it doesn't. When pressing the play button for a song a whole different song plays something I've never heard before, or pressed on but it shows the song I've requested playing please fix this.",POSITIVE,-1
172,The only thing I don't like is I can't pick the song I want to play and I can't change from shuffle play to just playing from the first song to the last,NEGATIVE,-1
173,Songs are again play after complete and need to give next track manual,NEGATIVE,-1
174,"I don't know whats going on with this app, but I'm encountering so many problems now. The player is not visible nearly all of the time which makes it VERY difficult. Never used to have these problems. Needs to be fixed for Android users.",NEGATIVE,-1
175,To many advertisements are there,NEGATIVE,-1
176,Too much add its to irritating,NEGATIVE,-1
177,"this app is getting more and more annoying, I can't even open the thing, it's just getting stuck on the damn loading screen, I waited for hours last night seeing if it would load, but nope. Fix your damn app",NEGATIVE,-1
178,Last two updates have ruined the app. Turns off mod song and shuffle is stuck on. So frustrating.,NEGATIVE,-1
179,"This app is great in so many ways. But Jesus does it glitch. There's so many loading issues that have been going on for months, even when you're offline but have downloaded music, it loads very slow or doesn't at all. Extremely annoying when you pay for your plan and it doesn't even function correctly. Please fix the bugs!!!!",NEGATIVE,-1
180,Worst Everytime I open it I can't play any song It says no internet connection even when I am connected to internet. It only works when my phone is connected to WiFi. That's not good at all,NEGATIVE,-1
181,They purposely throttle the app making it unbearable and a waste of time to use unless you have premium. Genuine disgusting business practice.,NEGATIVE,-1
182,"I love this app but I wish we could have the option to turn off the ""we added"" part of MY playlist I'm don't want to listen to some random German song I can't understand when I'm trying to cry myself to sleep with really sad songs.",NEGATIVE,-1
183,Good app for listening music.,POSITIVE,-1
184,When I put my songs on random like 2k songs. It always seems the same ones play. Been like this for a while,NEGATIVE,-1
185,Awesome app but can reduce ads for free users,NEGATIVE,-1
186,It just open and crashes,NEGATIVE,-1
187,No super awesome on android,NEGATIVE,-1
188,"Extremely Poorly Optimised. Autoplays the same song always, unintuitive navigation to artist album releases etc.",NEGATIVE,-1
189,"I have deleted the app to reinstall it and now it will not launch anymore!! Have done the clear caches, clear data and force stopping, restarted my phone and reinstalling the app but none of them works.ðŸ˜­ I have a premium.accnt and now I cannot even access it ! It gets stuck to the logo openingðŸ˜",NEGATIVE,-1
190,Best aap to listen music,POSITIVE,-1
191,Best Music Streaming App for Android and Ios. Provides Various songs to choose from based on person's personal recommendations.......,POSITIVE,-1
192,"PREMIUM BUYERS: READ B4 U BUY Guys, the app's awesome. But: 1.There is no way to see all of the songs downloaded to ur phone. U can only see the playlists u've downloaded or partially downloaded. 2.The only way to clear space is to either delete all of ur songs or go playlist by playlist. If a song is on multiple playlists it won't delete. 3.You can't delete individual songs. This review is limited to 500 char. so I'm cut short. And offline mode is broken too. Dev email me for full report.",NEGATIVE,-1
193,amazing app just a decent amount of adds,POSITIVE,-1
194,"Amazing and easy to use app, so good to use. ðŸ’œðŸ‘€",POSITIVE,-1
195,Customer Service is terrible. They don't answer emails back. No customer service phone number. No way to cancel subscription. Total Garbage. No help from them at all they just want the monthly subscription costs.,NEGATIVE,-1
196,Good app Good music,POSITIVE,-1
197,I never seen this type of app it's worst app The app is not at all opening from first i didn't listen even one song also Pls solve this problem Spotify ðŸ‘ðŸ»,NEGATIVE,-1
198,WHEN I GO TO MY MUSIC IT KEEPS PUTING MUSIC THAT I DONT KNOW AND MUSIC THAT ARE NOT IN MY PLAYLIST LIKE FIX IT,NEGATIVE,-1
199,I haven't used this app yet because it doesn't open when i press the app.. Spotify pls fix this.,NEGATIVE,-1
200,"I was using the lite version then j installed this and i think that lite is better. The like button and skip are too close to each other, so it dislikes the song instead of skipping it and there is undo option for that u have search it again and also it crashes a lot. My phones literally telling me uninstall it bc of the crashesðŸ˜•. And sometines the player also dosent work and it dosent have background player like the lite versionðŸ˜. I getting rid of this one, getting the lite versionðŸ˜§",NEGATIVE,-1
201,I bought 1day premium pack and still getting ads. Whats the point of spending money on premium?,NEGATIVE,-1
202,Keeps crashing on my s22 ultra,NEGATIVE,-1
203,Always had Spotify on my computer and now got it on my phone great to use doesn't take to long to open great .,POSITIVE,-1
204,"So you mean to tell me that on order to listen to the songs that I WANT to on mobile and not some random song that will play instead, I am required to pay for Premium? Yeah, no. One star, and going back to YouTube.",NEGATIVE,-1
205,"WAY too many ads, and it's always the same annoying 3. Ffs",NEGATIVE,-1
206,Best app for music lovers.,POSITIVE,-1
207,brilliant as always,POSITIVE,-1
208,"App is extremely glitchy. Thought it was my phone and/or my poor internet but NOPE. After reading all these posts I see my experience is the same as others. So much for adding a Premium account, no thank you. 7/22 Pretty much the same as above. Still glitchy. Still no premium upgrade desired. Thanks though.ðŸ‘",NEGATIVE,-1
209,I wish it would cycle through all the songs in a play list before playing a song I just herd,NEGATIVE,-1
210,I hate Spotify it won't let me choose what I want type of music it sucksssss I hate I hate it I hate it!!!!! ;,NEGATIVE,-1
211,Generally good. Lots of music i like. A few missing things. Don't want suggestions fir Kanye etc. Why doesn't it suggest more appropriate tunes?,POSITIVE,-1
212,That's too much. Why would I use a music app that doesn't allow me to choose the tracks I wanna play? I'm done with Spotify.,NEGATIVE,-1
213,i use this app multiple times daily. this might actually be my most used app. spotify is amazing and has an extremely large collection of music.,POSITIVE,-1
214,I can't see my playlists on the app. It kept saying that i need to add music and podcasts. I tried creating new playlists but it didnt appear on my library. Is this a bug? Please fix this.,NEGATIVE,-1
215,"I have a love/hate relationship with this app. I dont mind the ads, its the fact that i cant choose what songs i want to listen to anymore. I only get previews of the songs. I can only get 6 skips per hour. I cant do anything i want. Almosr all the songs i like to listen to are only for premium users. You put so many restrictions on us. Id rather pay for tidal. 2022 UPDATE: switched to youtube music my life is so much better ðŸ˜»ðŸ˜»",NEGATIVE,-1
216,Every time I play a playlist or press shuffle on a playlist. It gives me some random song I haven't heard of before or even want to hear. For example I was playing a star wars playlist and out of nowhere after the first song. It went to someone like drake,NEGATIVE,-1
217,"I love my Spotify because... It has an ""add free"" option It keeps record of the different types of music, artist, and bands (from old to new school) that I like. Spotify makes me daily mixes to check out ,which I love. Plus I get my daily horoscope reading on my way to work. Spotify= 10 â­ ðŸ¤©",POSITIVE,-1
218,"Its been a week since I've got this problem where I can't open the app, it's just a black screen with the Spotify logo in the middle, please fix it as soon as possible, I really enjoy the app",NEGATIVE,-1
219,Select a song and get something else Ask for RHCP and get Limp Bizkit. i can deal with the dozens of ads but itd be nice to get the music you actually choose.,POSITIVE,-1
220,"Updates downloads when I need it most, I work in a manufacturing facility so it is very hard to get connection and I cant having my phone out too much on the floor. Its annoying to have to wait on it working and feel like my job is at risk cause my PRE DOWNLOADED PLAYLISTS need to re-download... SHUFFLE DOESNT WORK. PLAYS SAME 20 SONGS OUT OF A 40 HOUR PLAYLIST! FIX IT PLEASE!",NEGATIVE,-1
221,The app isn't optimised for low connection speeds and spotty connections.,NEGATIVE,-1
222,"Spotify as a platform is great. But the app for android is slow, glitch filled garbage.",NEGATIVE,-1
223,Love the selections do many to choose!!,POSITIVE,-1
224,Thank you...you brought back the young girl in me! Love looking up the old music from the 80s,POSITIVE,-1
225,Very hard to use compared to other platforms,NEGATIVE,-1
226,It just simply is using a different sing to the one I select,NEGATIVE,-1
227,I love Spotify. It plays great music on there.,POSITIVE,-1
